DBA,ZIPCODE
Five Guys Burgers And Fries,11214
Dunkin' / Baskin-Robbins,10002
Tasty Bite Burger & Chicken,11211
Kennedy Fired Chicken,10460
Dunkin,11422
Dave's Hot Chicken,10027
Dunkin,11418
Mister Chicken Ii Llc,10036
Dippin' Chicken,10001
Dunkin' Donuts/Jimmy Johns/Qns Market,11430
Papa John's Pizza,11224
Starbucks,10017
Five Guys Burgers And Fries,10465
2 Sweet Of Staten Island Inc (Starbucks),10301
Chipotle Mexican Grill #3056,11211
Starbucks Corporation,11434
Chipotle Mexican Grill #3056,11225
Sutter Chicken Gyro Corp,11212
Wendy Teriyaki,10302
Papa John's Pizza,10029
Shake Shack 1692,10306
Robert Chicken,10001
Chick-Fil-A,11201
Starbucks Corporation,10306
Texmex Chicken & Burrito,11697
101 Chicken,11101
Dunkin',11354
Chick-Fil-A Forest Hills,11375
Dave's Hot Chicken,11201
Chipotle Mexican Grill #3056,11414
Empire Fried Chicken & Pizza,11210
Chicken And Pizza Fabene Inc.,10453
Dunkin,11430
Crown Fried Chicken,11432
Starbucks,10039
Domino's,10460
Dunkin,11201
Mad For Chicken,11103
Taco Bell,10065
Sonic Drive-In,10307
Dominos,10314
Charles Pan-Fried Chicken,10027
"Dunkin', Baskin Robbins",11413
Dunkin,10467
Dunkin Donuts Baskin Robbins,10471
Starbucks,10007
Crown Fried Chicken & Pizza,11221
Subway,10307
Raising Cane's Chicken Fingers,11201
Popeyes,11428
Dunkin-Baskin Robbins,10016
Crown Fried Chicken,11423
Dunkin,11106
Subway,11366
Crown Fried Chicken And Pizza Flavor Inc,11433
Kennedy Fried Chicken,11368
Domino's,11429
Shah's Halal Food/Castle Chicken And Burger,11373
Chick Chick,10024
"Dunkin', Baskin Robbins",11233
Dunkin,10005
Subway,10038
Kennedy Chicken & Grill,10453
New York Fried Chicken & Pizza,11223
Dunkin,10033
Andrea's Chicken,11378
Starbucks,10017
Dunkin,10017
Subway,10306
Dunkin/Baskin,10303
Starbucks,11222
Sonic Drive-In,10307
Starbucks Coffee,11373
Subway,11370
Dunkin',10028
Koo Koo Chicken,11214
Papa John's Pizza,10467
Dunkin' / Baskin-Robbins,11104
Dunkin'/Baskin Robbins,10462
Shake Shack,11217
Chipotle Mexican Grill,10025
Taco Bell,10307
Subway,10025
"Dunkin',' Baskin Robbins",11417
Dunkin,11434
Taco Bell,11209
New Mama's Fried Chicken,10455
"Dunkin',' Baskin Robbins",10034
Domino's,10022
Wendy's,10461
Dave's Hot Chicken,11209
Palace Fried Chicken & Pizza,11235
Subway,11209
Papa Johns Pizza,10306
Little Caesars,10452
Papa John's,11208
Subway,10019
Dunkin,10005
Chubby Burgers Chicken & Pizza,11102
Chipotle Mexican Grill,10011
Dunkin,10034
Kennedy Fried Chicken,10460
The Chicken Shack,11106
Kennedy Fried Chicken,11420
Popeyes,11412
Sabba's Chicken,10472
Starbucks Coffee,10036
Taco Bell,10475
Palace Fried Chicken & Pizza,11235
Dunkin',11234
Crown Fried Chicken,11212
"Dunkin', 'Baskin Robbins",11208
Burger King,11226
Wendy's,10017
Dunkin,11418
Crown Fried Chicken,11221
Subway,11104
Wendy's,10305
"Dunkin', 'Baskin Robbins",11208
Dunkin,10461
Domino's,10032
Dunkin,10302
Starbucks,10023
Super Kennedy's Chicken & Sandwich,10468
Subway,10460
Dunkin,11429
Taco Bell,11372
Starbucks,10036
Taco Bell Cantina,10038
Starbucks,10022
Popeyes,10462
Dunkin,10031
Kfc,11435
Chipotle Mexican Grill,10029
Starbucks,10007
Popeyes,10459
Pelicana Chicken,11375
New York Chicken & Grill,10466
Texas Chicken & Burgers,11235
Kennedy Chicken & Burgers,10029
Taco Bell,10029
Dunkin,11232
Dunkin,11211
Popeyes,11354
Dunkin,11372
Dunkin,10032
Subway,10025
Dunkin,11361
"Dunkin',' Baskin Robbins",11421
The Chicken Shack,11106
Chipotle Mexican Grill,10036
Taco Bell,10128
Dunkin',11373
Subway,11209
Dunkin',11220
Taco Bell,10462
Panera Bread,11239
Popeyes,11368
Domino's,11215
Mad For Chicken,11211
Kennedy Fried Chicken,10466
Dunkin,10461
Wendy's,10301
Domino's,11418
Kennedy Fried Chicken,10451
Dunkin,11373
"Dunkin', Baskin Robbins",10462
Popeyes,10025
Krispy Fried Chicken & Pizza,10452
"Dunkin',' Baskin Robbins",11419
375 Chicken,11201
Sonic Drive In,11225
Subway,10002
Big Arc Chicken,10003
375 Chicken,11201
Papa John's,10455
Koo Koo Chicken,11214
Shake Shack,11432
Chipotle Mexican Grill,10003
Popeyes,11374
Texas Chicken & Burgers,10454
Dunkin,11364
Burger King,10452
Starbucks,10022
Kennedy Fried Chicken,10468
Shake Shack,11217
Dunkin,10018
Dunkin' / 'Baskin Robbins,11385
Shake Shack,10036
Five Guys Famous Burgers And Fries,11214
Mad For Chicken,11103
Panera Bread,11385
375 Chicken N Fries,10036
Dunkin,10027
Starbucks,10007
Kennedy Chicken And Pizza,10459
Popeyes,10466
Crown Fried Chicken,10462
Modoo Chicken And Noodle Bar,11361
Us Fried Chicken,10451
Starbucks,10128
Kfc,11432
Subway,11004
Super Kennedy's Chicken & Sandwich,10468
Dunkin',11222
Dunkin,10121
Wendys,11209
Starbucks Coffee #23044,10001
Starbucks,10039
Shah's Halal Food/Castle Chicken And Burger,11373
Little Caesars,10470
Subway,10004
Dunkin,10309
Dunkin,11211
Dunkin',11378
Kennedy Fried Chicken,10452
Starbucks,11234
